State,Country,Date,Measure,value,daily_change
,"Korea, South",2020-03-09,deaths,53,3
,Kosovo,2020-03-09,deaths,0,0
,Kuwait,2020-03-09,deaths,0,0
,Kyrgyzstan,2020-03-09,deaths,0,0
,Laos,2020-03-09,deaths,0,0
,Latvia,2020-03-09,deaths,0,0
,Lebanon,2020-03-09,deaths,0,0
,Liberia,2020-03-09,deaths,0,0
,Libya,2020-03-09,deaths,0,0
,Liechtenstein,2020-03-09,deaths,0,0
,Lithuania,2020-03-09,deaths,0,0
,Luxembourg,2020-03-09,deaths,0,0
,Madagascar,2020-03-09,deaths,0,0
,Malawi,2020-03-09,deaths,0,0
,Malaysia,2020-03-09,deaths,0,0
,Maldives,2020-03-09,deaths,0,0
,Mali,2020-03-09,deaths,0,0
,Malta,2020-03-09,deaths,0,0
,Mauritania,2020-03-09,deaths,0,0
,Mauritius,2020-03-09,deaths,0,0
,Mexico,2020-03-09,deaths,0,0
,Moldova,2020-03-09,deaths,0,0
,Monaco,2020-03-09,deaths,0,0
,Mongolia,2020-03-09,deaths,0,0
,Montenegro,2020-03-09,deaths,0,0
,Morocco,2020-03-09,deaths,0,0
,Mozambique,2020-03-09,deaths,0,0
,MS Zaandam,2020-03-09,deaths,0,0
,Namibia,2020-03-09,deaths,0,0
,Nepal,2020-03-09,deaths,0,0
,Netherlands,2020-03-09,deaths,3,0
,New Zealand,2020-03-09,deaths,0,0
,Nicaragua,2020-03-09,deaths,0,0
,Niger,2020-03-09,deaths,0,0
,Nigeria,2020-03-09,deaths,0,0
,North Macedonia,2020-03-09,deaths,0,0
,Norway,2020-03-09,deaths,0,0
,Oman,2020-03-09,deaths,0,0
,Pakistan,2020-03-09,deaths,0,0
,Panama,2020-03-09,deaths,0,0
,Papua New Guinea,2020-03-09,deaths,0,0
,Paraguay,2020-03-09,deaths,0,0
,Peru,2020-03-09,deaths,0,0
,Philippines,2020-03-09,deaths,1,0
,Poland,2020-03-09,deaths,0,0
,Portugal,2020-03-09,deaths,0,0
,Qatar,2020-03-09,deaths,0,0
,Romania,2020-03-09,deaths,0,0
,Russia,2020-03-09,deaths,0,0
,Rwanda,2020-03-09,deaths,0,0
,Saint Kitts and Nevis,2020-03-09,deaths,0,0
,Saint Lucia,2020-03-09,deaths,0,0
,Saint Vincent and the Grenadines,2020-03-09,deaths,0,0
,San Marino,2020-03-09,deaths,1,0
,Saudi Arabia,2020-03-09,deaths,0,0
,Senegal,2020-03-09,deaths,0,0
,Serbia,2020-03-09,deaths,0,0
,Seychelles,2020-03-09,deaths,0,0
,Sierra Leone,2020-03-09,deaths,0,0
,Singapore,2020-03-09,deaths,0,0
,Slovakia,2020-03-09,deaths,0,0
,Slovenia,2020-03-09,deaths,0,0
,Somalia,2020-03-09,deaths,0,0
,South Africa,2020-03-09,deaths,0,0
,South Sudan,2020-03-09,deaths,0,0
,Spain,2020-03-09,deaths,28,11
,Sri Lanka,2020-03-09,deaths,0,0
,Sudan,2020-03-09,deaths,0,0
,Suriname,2020-03-09,deaths,0,0
,Sweden,2020-03-09,deaths,0,0
,Switzerland,2020-03-09,deaths,2,0
,Syria,2020-03-09,deaths,0,0
,Taiwan,2020-03-09,deaths,1,0
,Tanzania,2020-03-09,deaths,0,0
,Thailand,2020-03-09,deaths,1,0
,Timor-Leste,2020-03-09,deaths,0,0
,Togo,2020-03-09,deaths,0,0
,Trinidad and Tobago,2020-03-09,deaths,0,0
,Tunisia,2020-03-09,deaths,0,0
,Turkey,2020-03-09,deaths,0,0
,Uganda,2020-03-09,deaths,0,0
,Ukraine,2020-03-09,deaths,0,0
,UAE,2020-03-09,deaths,0,0
,UK,2020-03-09,deaths,4,1
,Uruguay,2020-03-09,deaths,0,0
,US,2020-03-09,deaths,22,1
,Uzbekistan,2020-03-09,deaths,0,0
,Venezuela,2020-03-09,deaths,0,0
,Vietnam,2020-03-09,deaths,0,0
,West Bank and Gaza,2020-03-09,deaths,0,0
,Western Sahara,2020-03-09,deaths,0,0
,Zambia,2020-03-09,deaths,0,0
,Zimbabwe,2020-03-09,deaths,0,0
Alberta,Canada,2020-03-09,recovered,0,0
Anguilla,UK,2020-03-09,recovered,0,0
Anhui,China,2020-03-09,recovered,984,0
Aruba,Netherlands,2020-03-09,recovered,0,0
Australian Capital Territory,Australia,2020-03-09,recovered,0,0
Beijing,China,2020-03-09,recovered,315,7
Bermuda,UK,2020-03-09,recovered,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-03-09,recovered,0,0
British Columbia,Canada,2020-03-09,recovered,0,0
British Virgin Islands,UK,2020-03-09,recovered,0,0
Cayman Islands,UK,2020-03-09,recovered,0,0
Channel Islands,UK,2020-03-09,recovered,0,0
Chongqing,China,2020-03-09,recovered,542,15
Curacao,Netherlands,2020-03-09,recovered,0,0
Diamond Princess,Canada,2020-03-09,recovered,0,0
Falkland Islands (Islas Malvinas),UK,2020-03-09,recovered,0,0
Faroe Islands,Denmark,2020-03-09,recovered,0,0
French Guiana,France,2020-03-09,recovered,0,0
French Polynesia,France,2020-03-09,recovered,0,0
Fujian,China,2020-03-09,recovered,295,0
Gansu,China,2020-03-09,recovered,88,1
Gibraltar,UK,2020-03-09,recovered,0,0
Grand Princess,Canada,2020-03-09,recovered,0,0
Greenland,Denmark,2020-03-09,recovered,0,0
Guadeloupe,France,2020-03-09,recovered,0,0
Guangdong,China,2020-03-09,recovered,1260,4
Guangxi,China,2020-03-09,recovered,230,7
Guizhou,China,2020-03-09,recovered,123,6
Hainan,China,2020-03-09,recovered,159,0
Hebei,China,2020-03-09,recovered,307,0
Heilongjiang,China,2020-03-09,recovered,430,18
Henan,China,2020-03-09,recovered,1247,0
Hong Kong,China,2020-03-09,recovered,59,1
Hubei,China,2020-03-09,recovered,46488,1253
Hunan,China,2020-03-09,recovered,979,11
Inner Mongolia,China,2020-03-09,recovered,70,0
Isle of Man,UK,2020-03-09,recovered,0,0
Jiangsu,China,2020-03-09,recovered,621,9
Jiangxi,China,2020-03-09,recovered,923,4
Jilin,China,2020-03-09,recovered,91,1
Liaoning,China,2020-03-09,recovered,109,0
Macau,China,2020-03-09,recovered,10,0
Manitoba,Canada,2020-03-09,recovered,0,0
Martinique,France,2020-03-09,recovered,0,0
Mayotte,France,2020-03-09,recovered,0,0
Montserrat,UK,2020-03-09,recovered,0,0
New Brunswick,Canada,2020-03-09,recovered,0,0
New Caledonia,France,2020-03-09,recovered,0,0
New South Wales,Australia,2020-03-09,recovered,4,0
Newfoundland and Labrador,Canada,2020-03-09,recovered,0,0
Ningxia,China,2020-03-09,recovered,71,0
Northern Territory,Australia,2020-03-09,recovered,0,0
Northwest Territories,Canada,2020-03-09,recovered,0,0
Nova Scotia,Canada,2020-03-09,recovered,0,0
Ontario,Canada,2020-03-09,recovered,0,0
Prince Edward Island,Canada,2020-03-09,recovered,0,0
Qinghai,China,2020-03-09,recovered,18,0
Quebec,Canada,2020-03-09,recovered,0,0
Queensland,Australia,2020-03-09,recovered,8,0
Recovered,Canada,2020-03-09,recovered,0,0
Reunion,France,2020-03-09,recovered,0,0
Saint Barthelemy,France,2020-03-09,recovered,0,0
Saint Pierre and Miquelon,France,2020-03-09,recovered,0,0
Saskatchewan,Canada,2020-03-09,recovered,0,0
Shaanxi,China,2020-03-09,recovered,227,0
Shandong,China,2020-03-09,recovered,700,58
Shanghai,China,2020-03-09,recovered,315,1
Shanxi,China,2020-03-09,recovered,127,1
Sichuan,China,2020-03-09,recovered,466,2
Sint Maarten,Netherlands,2020-03-09,recovered,0,0
South Australia,Australia,2020-03-09,recovered,2,0
St Martin,France,2020-03-09,recovered,0,0
Tasmania,Australia,2020-03-09,recovered,0,0
Tianjin,China,2020-03-09,recovered,130,2
Tibet,China,2020-03-09,recovered,1,0
Turks and Caicos Islands,UK,2020-03-09,recovered,0,0
Victoria,Australia,2020-03-09,recovered,7,0
Western Australia,Australia,2020-03-09,recovered,0,0
Xinjiang,China,2020-03-09,recovered,73,0
Yukon,Canada,2020-03-09,recovered,0,0
Yunnan,China,2020-03-09,recovered,170,0
Zhejiang,China,2020-03-09,recovered,1176,15
,Afghanistan,2020-03-09,recovered,0,0
,Albania,2020-03-09,recovered,0,0
,Algeria,2020-03-09,recovered,0,0
,Andorra,2020-03-09,recovered,0,0
,Angola,2020-03-09,recovered,0,0
,Antigua and Barbuda,2020-03-09,recovered,0,0
,Argentina,2020-03-09,recovered,0,0
,Armenia,2020-03-09,recovered,0,0
,Austria,2020-03-09,recovered,2,2
,Azerbaijan,2020-03-09,recovered,0,0
,Bahamas,2020-03-09,recovered,0,0
,Bahrain,2020-03-09,recovered,14,10
,Bangladesh,2020-03-09,recovered,0,0
,Barbados,2020-03-09,recovered,0,0
,Belarus,2020-03-09,recovered,1,1
,Belgium,2020-03-09,recovered,1,0
,Belize,2020-03-09,recovered,0,0
,Benin,2020-03-09,recovered,0,0
,Bhutan,2020-03-09,recovered,0,0
,Bolivia,2020-03-09,recovered,0,0
,Bosnia and Herzegovina,2020-03-09,recovered,0,0
,Botswana,2020-03-09,recovered,0,0
,Brazil,2020-03-09,recovered,0,0
,Brunei,2020-03-09,recovered,0,0
,Bulgaria,2020-03-09,recovered,0,0
,Burkina Faso,2020-03-09,recovered,0,0
,Burma,2020-03-09,recovered,0,0
,Burundi,2020-03-09,recovered,0,0
,Cabo Verde,2020-03-09,recovered,0,0
,Cambodia,2020-03-09,recovered,1,0
,Cameroon,2020-03-09,recovered,0,0
,Central African Republic,2020-03-09,recovered,0,0
,Chad,2020-03-09,recovered,0,0
,Chile,2020-03-09,recovered,0,0
,Colombia,2020-03-09,recovered,0,0
,Congo (Brazzaville),2020-03-09,recovered,0,0
,Congo (Kinshasa),2020-03-09,recovered,0,0
,Costa Rica,2020-03-09,recovered,0,0
,Cote d'Ivoire,2020-03-09,recovered,0,0
,Croatia,2020-03-09,recovered,0,0
,Cuba,2020-03-09,recovered,0,0
,Cyprus,2020-03-09,recovered,0,0
,Czechia,2020-03-09,recovered,0,0
,Denmark,2020-03-09,recovered,1,0
,Diamond Princess,2020-03-09,recovered,40,0
,Djibouti,2020-03-09,recovered,0,0
,Dominica,2020-03-09,recovered,0,0
,Dominican Republic,2020-03-09,recovered,0,0
,Ecuador,2020-03-09,recovered,0,0
,Egypt,2020-03-09,recovered,1,0
,El Salvador,2020-03-09,recovered,0,0
,Equatorial Guinea,2020-03-09,recovered,0,0
,Eritrea,2020-03-09,recovered,0,0
,Estonia,2020-03-09,recovered,0,0
,Eswatini,2020-03-09,recovered,0,0
,Ethiopia,2020-03-09,recovered,0,0
,Fiji,2020-03-09,recovered,0,0
,Finland,2020-03-09,recovered,1,0
,France,2020-03-09,recovered,12,0
,Gabon,2020-03-09,recovered,0,0
,Gambia,2020-03-09,recovered,0,0
,Georgia,2020-03-09,recovered,0,0
,Germany,2020-03-09,recovered,18,0
,Ghana,2020-03-09,recovered,0,0
,Greece,2020-03-09,recovered,0,0
,Grenada,2020-03-09,recovered,0,0
,Guatemala,2020-03-09,recovered,0,0
,Guinea,2020-03-09,recovered,0,0
,Guinea-Bissau,2020-03-09,recovered,0,0
,Guyana,2020-03-09,recovered,0,0
,Haiti,2020-03-09,recovered,0,0
,Holy See,2020-03-09,recovered,0,0
,Honduras,2020-03-09,recovered,0,0
,Hungary,2020-03-09,recovered,0,0
,Iceland,2020-03-09,recovered,0,0
,India,2020-03-09,recovered,3,0
,Indonesia,2020-03-09,recovered,0,0
,Iran,2020-03-09,recovered,2394,260
,Iraq,2020-03-09,recovered,3,3
,Ireland,2020-03-09,recovered,0,0
,Israel,2020-03-09,recovered,2,0
,Italy,2020-03-09,recovered,724,102
,Jamaica,2020-03-09,recovered,0,0
,Japan,2020-03-09,recovered,76,0
,Jordan,2020-03-09,recovered,0,0
,Kazakhstan,2020-03-09,recovered,0,0
,Kenya,2020-03-09,recovered,0,0
,"Korea, South",2020-03-09,recovered,118,0
,Kosovo,2020-03-09,recovered,0,0
,Kuwait,2020-03-09,recovered,1,0
,Kyrgyzstan,2020-03-09,recovered,0,0
,Laos,2020-03-09,recovered,0,0
,Latvia,2020-03-09,recovered,0,0
,Lebanon,2020-03-09,recovered,1,0
,Liberia,2020-03-09,recovered,0,0
,Libya,2020-03-09,recovered,0,0
,Liechtenstein,2020-03-09,recovered,0,0
,Lithuania,2020-03-09,recovered,0,0
,Luxembourg,2020-03-09,recovered,0,0
,Madagascar,2020-03-09,recovered,0,0
,Malawi,2020-03-09,recovered,0,0
,Malaysia,2020-03-09,recovered,24,0
,Maldives,2020-03-09,recovered,0,0
,Mali,2020-03-09,recovered,0,0
,Malta,2020-03-09,recovered,0,0
,Mauritania,2020-03-09,recovered,0,0
,Mauritius,2020-03-09,recovered,0,0
,Mexico,2020-03-09,recovered,1,0
,Moldova,2020-03-09,recovered,0,0
,Monaco,2020-03-09,recovered,0,0
,Mongolia,2020-03-09,recovered,0,0
,Montenegro,2020-03-09,recovered,0,0
,Morocco,2020-03-09,recovered,0,0
,Mozambique,2020-03-09,recovered,0,0
,MS Zaandam,2020-03-09,recovered,0,0
,Namibia,2020-03-09,recovered,0,0
,Nepal,2020-03-09,recovered,1,0
,Netherlands,2020-03-09,recovered,0,0
,New Zealand,2020-03-09,recovered,0,0
,Nicaragua,2020-03-09,recovered,0,0
,Niger,2020-03-09,recovered,0,0
,Nigeria,2020-03-09,recovered,0,0
,North Macedonia,2020-03-09,recovered,0,0
,Norway,2020-03-09,recovered,1,1
,Oman,2020-03-09,recovered,2,0
,Pakistan,2020-03-09,recovered,1,0
,Panama,2020-03-09,recovered,0,0
,Papua New Guinea,2020-03-09,recovered,0,0
,Paraguay,2020-03-09,recovered,0,0
,Peru,2020-03-09,recovered,0,0
,Philippines,2020-03-09,recovered,1,0
,Poland,2020-03-09,recovered,0,0
,Portugal,2020-03-09,recovered,0,0
,Qatar,2020-03-09,recovered,0,0
,Romania,2020-03-09,recovered,3,0
,Russia,2020-03-09,recovered,3,0
,Rwanda,2020-03-09,recovered,0,0
,Saint Kitts and Nevis,2020-03-09,recovered,0,0
,Saint Lucia,2020-03-09,recovered,0,0
,Saint Vincent and the Grenadines,2020-03-09,recovered,0,0
,San Marino,2020-03-09,recovered,0,0
,Saudi Arabia,2020-03-09,recovered,0,0
,Senegal,2020-03-09,recovered,1,0
,Serbia,2020-03-09,recovered,0,0
,Seychelles,2020-03-09,recovered,0,0
,Sierra Leone,2020-03-09,recovered,0,0
,Singapore,2020-03-09,recovered,78,0
,Slovakia,2020-03-09,recovered,0,0
,Slovenia,2020-03-09,recovered,0,0
,Somalia,2020-03-09,recovered,0,0
,South Africa,2020-03-09,recovered,0,0
,South Sudan,2020-03-09,recovered,0,0
,Spain,2020-03-09,recovered,32,2
,Sri Lanka,2020-03-09,recovered,1,0
,Sudan,2020-03-09,recovered,0,0
,Suriname,2020-03-09,recovered,0,0
,Sweden,2020-03-09,recovered,1,1
,Switzerland,2020-03-09,recovered,3,0
,Syria,2020-03-09,recovered,0,0
,Taiwan,2020-03-09,recovered,15,2
,Tanzania,2020-03-09,recovered,0,0
,Thailand,2020-03-09,recovered,31,0
,Timor-Leste,2020-03-09,recovered,0,0
,Togo,2020-03-09,recovered,0,0
,Trinidad and Tobago,2020-03-09,recovered,0,0
,Tunisia,2020-03-09,recovered,0,0
,Turkey,2020-03-09,recovered,0,0
,Uganda,2020-03-09,recovered,0,0
,Ukraine,2020-03-09,recovered,0,0
,UAE,2020-03-09,recovered,7,0
,UK,2020-03-09,recovered,18,0
,Uruguay,2020-03-09,recovered,0,0
,US,2020-03-09,recovered,7,0
,Uzbekistan,2020-03-09,recovered,0,0
,Venezuela,2020-03-09,recovered,0,0
,Vietnam,2020-03-09,recovered,16,0
,West Bank and Gaza,2020-03-09,recovered,0,0
,Western Sahara,2020-03-09,recovered,0,0
,Zambia,2020-03-09,recovered,0,0
,Zimbabwe,2020-03-09,recovered,0,0
Alberta,Canada,2020-03-10,confirmed,7,0
Anguilla,UK,2020-03-10,confirmed,0,0
Anhui,China,2020-03-10,confirmed,990,0
Aruba,Netherlands,2020-03-10,confirmed,0,0
Australian Capital Territory,Australia,2020-03-10,confirmed,0,0
Beijing,China,2020-03-10,confirmed,429,1
Bermuda,UK,2020-03-10,confirmed,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-03-10,confirmed,0,0
British Columbia,Canada,2020-03-10,confirmed,32,0
British Virgin Islands,UK,2020-03-10,confirmed,0,0
Cayman Islands,UK,2020-03-10,confirmed,0,0
Channel Islands,UK,2020-03-10,confirmed,1,1
Chongqing,China,2020-03-10,confirmed,576,0
Curacao,Netherlands,2020-03-10,confirmed,0,0
Diamond Princess,Canada,2020-03-10,confirmed,0,0
Falkland Islands (Islas Malvinas),UK,2020-03-10,confirmed,0,0
Faroe Islands,Denmark,2020-03-10,confirmed,2,0
French Guiana,France,2020-03-10,confirmed,5,0
French Polynesia,France,2020-03-10,confirmed,0,0
Fujian,China,2020-03-10,confirmed,296,0
Gansu,China,2020-03-10,confirmed,125,1
Gibraltar,UK,2020-03-10,confirmed,1,0
Grand Princess,Canada,2020-03-10,confirmed,0,0
Greenland,Denmark,2020-03-10,confirmed,0,0
Guadeloupe,France,2020-03-10,confirmed,0,0
Guangdong,China,2020-03-10,confirmed,1353,1
Guangxi,China,2020-03-10,confirmed,252,0
Guizhou,China,2020-03-10,confirmed,146,0
Hainan,China,2020-03-10,confirmed,168,0
Hebei,China,2020-03-10,confirmed,318,0
Heilongjiang,China,2020-03-10,confirmed,481,0
Henan,China,2020-03-10,confirmed,1272,0
Hong Kong,China,2020-03-10,confirmed,120,5
Hubei,China,2020-03-10,confirmed,67760,17
Hunan,China,2020-03-10,confirmed,1018,0
Inner Mongolia,China,2020-03-10,confirmed,75,0
Isle of Man,UK,2020-03-10,confirmed,0,0
Jiangsu,China,2020-03-10,confirmed,631,0
Jiangxi,China,2020-03-10,confirmed,935,0
Jilin,China,2020-03-10,confirmed,93,0
Liaoning,China,2020-03-10,confirmed,125,0
Macau,China,2020-03-10,confirmed,10,0
Manitoba,Canada,2020-03-10,confirmed,0,0
Martinique,France,2020-03-10,confirmed,2,0
Mayotte,France,2020-03-10,confirmed,0,0
Montserrat,UK,2020-03-10,confirmed,0,0
New Brunswick,Canada,2020-03-10,confirmed,0,0
New Caledonia,France,2020-03-10,confirmed,0,0
New South Wales,Australia,2020-03-10,confirmed,55,7
Newfoundland and Labrador,Canada,2020-03-10,confirmed,0,0
Ningxia,China,2020-03-10,confirmed,75,0
Northern Territory,Australia,2020-03-10,confirmed,1,1
Northwest Territories,Canada,2020-03-10,confirmed,0,0
Nova Scotia,Canada,2020-03-10,confirmed,0,0
Ontario,Canada,2020-03-10,confirmed,36,2
Prince Edward Island,Canada,2020-03-10,confirmed,0,0
Qinghai,China,2020-03-10,confirmed,18,0
Quebec,Canada,2020-03-10,confirmed,4,0
Queensland,Australia,2020-03-10,confirmed,18,3
Recovered,Canada,2020-03-10,confirmed,0,0
Reunion,France,2020-03-10,confirmed,0,0
Saint Barthelemy,France,2020-03-10,confirmed,1,0
Saint Pierre and Miquelon,France,2020-03-10,confirmed,0,0
Saskatchewan,Canada,2020-03-10,confirmed,0,0
Shaanxi,China,2020-03-10,confirmed,245,0
Shandong,China,2020-03-10,confirmed,758,0
Shanghai,China,2020-03-10,confirmed,344,2
Shanxi,China,2020-03-10,confirmed,133,0
Sichuan,China,2020-03-10,confirmed,539,0
Sint Maarten,Netherlands,2020-03-10,confirmed,0,0
South Australia,Australia,2020-03-10,confirmed,7,0
St Martin,France,2020-03-10,confirmed,2,0
Tasmania,Australia,2020-03-10,confirmed,2,0
Tianjin,China,2020-03-10,confirmed,136,0
Tibet,China,2020-03-10,confirmed,1,0
Turks and Caicos Islands,UK,2020-03-10,confirmed,0,0
Victoria,Australia,2020-03-10,confirmed,18,3
Western Australia,Australia,2020-03-10,confirmed,6,2
Xinjiang,China,2020-03-10,confirmed,76,0
Yukon,Canada,2020-03-10,confirmed,0,0
Yunnan,China,2020-03-10,confirmed,174,0
Zhejiang,China,2020-03-10,confirmed,1215,0
,Afghanistan,2020-03-10,confirmed,5,1
,Albania,2020-03-10,confirmed,10,8
,Algeria,2020-03-10,confirmed,20,0
,Andorra,2020-03-10,confirmed,1,0
,Angola,2020-03-10,confirmed,0,0
,Antigua and Barbuda,2020-03-10,confirmed,0,0
,Argentina,2020-03-10,confirmed,17,5
,Armenia,2020-03-10,confirmed,1,0
,Austria,2020-03-10,confirmed,182,51
,Azerbaijan,2020-03-10,confirmed,11,2
,Bahamas,2020-03-10,confirmed,0,0
,Bahrain,2020-03-10,confirmed,110,15
,Bangladesh,2020-03-10,confirmed,3,0
,Barbados,2020-03-10,confirmed,0,0
,Belarus,2020-03-10,confirmed,9,3
,Belgium,2020-03-10,confirmed,267,28
,Belize,2020-03-10,confirmed,0,0
,Benin,2020-03-10,confirmed,0,0
,Bhutan,2020-03-10,confirmed,1,0
,Bolivia,2020-03-10,confirmed,0,0
,Bosnia and Herzegovina,2020-03-10,confirmed,5,2
,Botswana,2020-03-10,confirmed,0,0
,Brazil,2020-03-10,confirmed,31,6
,Brunei,2020-03-10,confirmed,1,0
,Bulgaria,2020-03-10,confirmed,4,0
,Burkina Faso,2020-03-10,confirmed,1,1
,Burma,2020-03-10,confirmed,0,0
,Burundi,2020-03-10,confirmed,0,0
,Cabo Verde,2020-03-10,confirmed,0,0
,Cambodia,2020-03-10,confirmed,2,0
,Cameroon,2020-03-10,confirmed,2,0
,Central African Republic,2020-03-10,confirmed,0,0
,Chad,2020-03-10,confirmed,0,0
,Chile,2020-03-10,confirmed,13,5
,Colombia,2020-03-10,confirmed,3,2
,Congo (Brazzaville),2020-03-10,confirmed,0,0
,Congo (Kinshasa),2020-03-10,confirmed,0,0
,Costa Rica,2020-03-10,confirmed,9,0
,Cote d'Ivoire,2020-03-10,confirmed,0,0
,Croatia,2020-03-10,confirmed,14,2
,Cuba,2020-03-10,confirmed,0,0
,Cyprus,2020-03-10,confirmed,3,1
,Czechia,2020-03-10,confirmed,41,10
,Denmark,2020-03-10,confirmed,262,172
,Diamond Princess,2020-03-10,confirmed,706,0
,Djibouti,2020-03-10,confirmed,0,0
,Dominica,2020-03-10,confirmed,0,0
,Dominican Republic,2020-03-10,confirmed,5,0
,Ecuador,2020-03-10,confirmed,15,0
,Egypt,2020-03-10,confirmed,59,4
,El Salvador,2020-03-10,confirmed,0,0
,Equatorial Guinea,2020-03-10,confirmed,0,0
,Eritrea,2020-03-10,confirmed,0,0
,Estonia,2020-03-10,confirmed,12,2
,Eswatini,2020-03-10,confirmed,0,0
,Ethiopia,2020-03-10,confirmed,0,0
,Fiji,2020-03-10,confirmed,0,0
,Finland,2020-03-10,confirmed,40,10
,France,2020-03-10,confirmed,1784,575
,Gabon,2020-03-10,confirmed,0,0
,Gambia,2020-03-10,confirmed,0,0
,Georgia,2020-03-10,confirmed,15,0
,Germany,2020-03-10,confirmed,1457,281
,Ghana,2020-03-10,confirmed,0,0
,Greece,2020-03-10,confirmed,89,16
,Grenada,2020-03-10,confirmed,0,0
,Guatemala,2020-03-10,confirmed,0,0
,Guinea,2020-03-10,confirmed,0,0
,Guinea-Bissau,2020-03-10,confirmed,0,0
,Guyana,2020-03-10,confirmed,0,0
,Haiti,2020-03-10,confirmed,0,0
,Holy See,2020-03-10,confirmed,1,0
,Honduras,2020-03-10,confirmed,0,0
,Hungary,2020-03-10,confirmed,9,0
,Iceland,2020-03-10,confirmed,69,11
,India,2020-03-10,confirmed,56,13
,Indonesia,2020-03-10,confirmed,27,8
,Iran,2020-03-10,confirmed,8042,881
,Iraq,2020-03-10,confirmed,71,11
,Ireland,2020-03-10,confirmed,34,13
,Israel,2020-03-10,confirmed,75,14
,Italy,2020-03-10,confirmed,10149,977
,Jamaica,2020-03-10,confirmed,0,0
,Japan,2020-03-10,confirmed,581,70
,Jordan,2020-03-10,confirmed,1,0
,Kazakhstan,2020-03-10,confirmed,0,0
,Kenya,2020-03-10,confirmed,0,0
,"Korea, South",2020-03-10,confirmed,7513,35
,Kosovo,2020-03-10,confirmed,0,0
,Kuwait,2020-03-10,confirmed,69,5
,Kyrgyzstan,2020-03-10,confirmed,0,0
,Laos,2020-03-10,confirmed,0,0
,Latvia,2020-03-10,confirmed,8,2
,Lebanon,2020-03-10,confirmed,41,9
,Liberia,2020-03-10,confirmed,0,0
,Libya,2020-03-10,confirmed,0,0
,Liechtenstein,2020-03-10,confirmed,1,0
,Lithuania,2020-03-10,confirmed,1,0
,Luxembourg,2020-03-10,confirmed,5,2
,Madagascar,2020-03-10,confirmed,0,0
,Malawi,2020-03-10,confirmed,0,0
,Malaysia,2020-03-10,confirmed,129,12
,Maldives,2020-03-10,confirmed,6,2
,Mali,2020-03-10,confirmed,0,0
,Malta,2020-03-10,confirmed,5,2
,Mauritania,2020-03-10,confirmed,0,0
,Mauritius,2020-03-10,confirmed,0,0
,Mexico,2020-03-10,confirmed,7,0
,Moldova,2020-03-10,confirmed,3,2
,Monaco,2020-03-10,confirmed,1,0
,Mongolia,2020-03-10,confirmed,1,1
,Montenegro,2020-03-10,confirmed,0,0
,Morocco,2020-03-10,confirmed,3,1
,Mozambique,2020-03-10,confirmed,0,0
,MS Zaandam,2020-03-10,confirmed,0,0
,Namibia,2020-03-10,confirmed,0,0
,Nepal,2020-03-10,confirmed,1,0
,Netherlands,2020-03-10,confirmed,382,61
,New Zealand,2020-03-10,confirmed,5,0
,Nicaragua,2020-03-10,confirmed,0,0
,Niger,2020-03-10,confirmed,0,0
,Nigeria,2020-03-10,confirmed,2,0
,North Macedonia,2020-03-10,confirmed,7,4
,Norway,2020-03-10,confirmed,400,195
,Oman,2020-03-10,confirmed,18,2
,Pakistan,2020-03-10,confirmed,16,10
,Panama,2020-03-10,confirmed,1,1
,Papua New Guinea,2020-03-10,confirmed,0,0
,Paraguay,2020-03-10,confirmed,1,0
,Peru,2020-03-10,confirmed,11,4
,Philippines,2020-03-10,confirmed,33,13
,Poland,2020-03-10,confirmed,22,6
,Portugal,2020-03-10,confirmed,41,11
,Qatar,2020-03-10,confirmed,24,6
,Romania,2020-03-10,confirmed,25,10
,Russia,2020-03-10,confirmed,20,3
,Rwanda,2020-03-10,confirmed,0,0
,Saint Kitts and Nevis,2020-03-10,confirmed,0,0
,Saint Lucia,2020-03-10,confirmed,0,0
,Saint Vincent and the Grenadines,2020-03-10,confirmed,0,0
,San Marino,2020-03-10,confirmed,51,15
,Saudi Arabia,2020-03-10,confirmed,20,5
,Senegal,2020-03-10,confirmed,4,0
,Serbia,2020-03-10,confirmed,5,4
,Seychelles,2020-03-10,confirmed,0,0
,Sierra Leone,2020-03-10,confirmed,0,0
,Singapore,2020-03-10,confirmed,160,10
,Slovakia,2020-03-10,confirmed,7,4
,Slovenia,2020-03-10,confirmed,31,15
,Somalia,2020-03-10,confirmed,0,0
,South Africa,2020-03-10,confirmed,7,4
,South Sudan,2020-03-10,confirmed,0,0
,Spain,2020-03-10,confirmed,1695,622
,Sri Lanka,2020-03-10,confirmed,1,0
,Sudan,2020-03-10,confirmed,0,0
,Suriname,2020-03-10,confirmed,0,0
,Sweden,2020-03-10,confirmed,355,107
,Switzerland,2020-03-10,confirmed,491,117
,Syria,2020-03-10,confirmed,0,0
,Taiwan,2020-03-10,confirmed,47,2
,Tanzania,2020-03-10,confirmed,0,0
,Thailand,2020-03-10,confirmed,53,3
,Timor-Leste,2020-03-10,confirmed,0,0
,Togo,2020-03-10,confirmed,1,0
,Trinidad and Tobago,2020-03-10,confirmed,0,0
,Tunisia,2020-03-10,confirmed,5,3
,Turkey,2020-03-10,confirmed,0,0
,Uganda,2020-03-10,confirmed,0,0
